trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.002, 'e': 0.8203698531378311}",25,0,-146.24092322126702,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
101,False,"{'a': 0.002, 'e': 0.8187307530779818}",25,0,-110.70817999441472,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
102,False,"{'a': 0.002, 'e': 0.8170949279422366}",20,0,-20.5956491635582,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
103,False,"{'a': 0.002, 'e': 0.8154623711872927}",35,0,-156.34464964561352,"{0: 22, 1: 5, 2: 4, 3: 2, 4: 2}",0
104,False,"{'a': 0.002, 'e': 0.8138330762829207}",20,0,-1.9930272276423047,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.002, 'e': 0.812207036711939}",20,0,-82.41824752170956,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.002, 'e': 0.8105842459701871}",25,0,-98.78310148949008,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
107,False,"{'a': 0.002, 'e': 0.8089646975664998}",30,0,-102.9149398438786,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
108,False,"{'a': 0.002, 'e': 0.8073483850226815}",30,0,-119.07941950764726,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
109,False,"{'a': 0.002, 'e': 0.8057353018734796}",20,0,-47.68661020743466,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
110,False,"{'a': 0.002, 'e': 0.8041254416665596}",20,0,-144.6432505707179,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
111,False,"{'a': 0.002, 'e': 0.8025187979624785}",20,0,-80.33355857397963,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
112,False,"{'a': 0.002, 'e': 0.8009153643346592}",20,5,8.594412906693863,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.002, 'e': 0.7993151343693651}",20,16,6.888081619194857,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.002, 'e': 0.7977181016656743}",20,2,-69.28258415835599,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
115,False,"{'a': 0.002, 'e': 0.7961242598354538}",20,1,-1.9440514840508913,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.002, 'e': 0.794533602503334}",20,0,-45.14193612534855,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
117,False,"{'a': 0.002, 'e': 0.7929461233066837}",30,0,-108.80160891282873,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
118,False,"{'a': 0.002, 'e': 0.7913618158955839}",25,0,-167.35982496684773,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
119,False,"{'a': 0.002, 'e': 0.7897806739328027}",30,0,10.388115887081408,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
120,False,"{'a': 0.002, 'e': 0.7882026910937704}",20,0,-20.244171941323536,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
121,False,"{'a': 0.002, 'e': 0.7866278610665535}",30,0,-166.53573153634915,"{0: 17, 1: 2, 2: 6, 3: 4, 4: 1}",0
122,False,"{'a': 0.002, 'e': 0.7850561775518295}",35,6,-119.33973042158989,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 2}",1
123,False,"{'a': 0.002, 'e': 0.7834876342628625}",20,0,-135.5066721273999,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
124,False,"{'a': 0.002, 'e': 0.7819222249254772}",25,11,8.563857179459362,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.002, 'e': 0.7803599432780343}",30,0,-131.67193159191226,"{0: 22, 1: 3, 2: 1, 3: 1, 4: 3}",0
126,False,"{'a': 0.002, 'e': 0.7788007830714049}",20,0,-67.4227633389821,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
127,False,"{'a': 0.002, 'e': 0.7772447380689461}",30,0,-123.22258065213036,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
128,False,"{'a': 0.002, 'e': 0.775691802046476}",25,13,16.124278690623743,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.002, 'e': 0.7741419687922484}",25,0,-101.30704938856212,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
130,False,"{'a': 0.002, 'e': 0.772595232106928}",20,0,-29.59716679432979,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
131,False,"{'a': 0.002, 'e': 0.7710515858035663}",35,0,-180.00200519149396,"{0: 21, 1: 7, 2: 3, 3: 1, 4: 3}",0
132,False,"{'a': 0.002, 'e': 0.7695110237075758}",20,0,-83.15378756244884,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
133,False,"{'a': 0.002, 'e': 0.7679735396567061}",25,7,-52.94142707457269,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
134,False,"{'a': 0.002, 'e': 0.7664391275010192}",20,0,-130.09536158821595,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
135,False,"{'a': 0.002, 'e': 0.764907781102864}",30,0,-146.15198328766127,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 3}",0
136,False,"{'a': 0.002, 'e': 0.7633794943368531}",25,0,2.1242217798309406,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
137,False,"{'a': 0.002, 'e': 0.7618542610898376}",25,0,-156.95146158322217,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
138,False,"{'a': 0.002, 'e': 0.7603320752608821}",25,0,-128.50506909722367,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
139,False,"{'a': 0.002, 'e': 0.7588129307612413}",30,0,-162.793734874646,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
140,False,"{'a': 0.002, 'e': 0.7572968215143355}",20,0,-134.953092200467,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",1
141,False,"{'a': 0.002, 'e': 0.7557837414557255}",25,0,-70.45900934533039,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
142,False,"{'a': 0.002, 'e': 0.754273684533089}",30,2,-23.92300115075445,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 0}",1
